"","BC","MT","AG","UB","PT","RC","AC","ZH","LT"
"P_01289",1,0,0,0,0,0,0,0,0
"P_01290",1,0,0,0,0,0,0,0,0
"P_01291",1,0,0,0,0,0,0,0,0
"P_01292",1,0,0,0,0,0,0,0,0
"P_01294",1,0,0,0,0,0,0,0,0
"P_01295",1,0,0,0,0,0,0,0,0
"P_01300",1,0,0,0,0,0,0,0,0
"P_01302",1,0,0,0,0,0,0,0,0
"P_01306",1,0,0,0,0,0,0,0,0
"P_01307",1,0,0,0,0,0,0,0,0
"P_01308",1,0,0,0,0,0,0,0,0
"P_01311",0.807692307692308,0,0,0,0.192307692307692,0,0,0,0
"P_01314",1,0,0,0,0,0,0,0,0
"P_01315",1,0,0,0,0,0,0,0,0
"P_01317",1,0,0,0,0,0,0,0,0
"P_01320",1,0,0,0,0,0,0,0,0
"P_01321",1,0,0,0,0,0,0,0,0
"P_01326",1,0,0,0,0,0,0,0,0
"P_01328",1,0,0,0,0,0,0,0,0
"P_01333",1,0,0,0,0,0,0,0,0
"P_01337",1,0,0,0,0,0,0,0,0
"P_01341",1,0,0,0,0,0,0,0,0
"P_01342",1,0,0,0,0,0,0,0,0
"P_01344",1,0,0,0,0,0,0,0,0
"P_01346",1,0,0,0,0,0,0,0,0
"P_01348",1,0,0,0,0,0,0,0,0
"P_01350",1,0,0,0,0,0,0,0,0
"P_01352",1,0,0,0,0,0,0,0,0
"P_01353",1,0,0,0,0,0,0,0,0
"P_01361",1,0,0,0,0,0,0,0,0
"P_01365",1,0,0,0,0,0,0,0,0
"P_01366",1,0,0,0,0,0,0,0,0
"P_02214",0.0192307692307692,0.980769230769231,0,0,0,0,0,0,0
"P_01373",1,0,0,0,0,0,0,0,0
"P_01377",1,0,0,0,0,0,0,0,0
"P_01378",1,0,0,0,0,0,0,0,0
"P_01380",1,0,0,0,0,0,0,0,0
"P_01383",1,0,0,0,0,0,0,0,0
"P_01386",1,0,0,0,0,0,0,0,0
"P_01390",1,0,0,0,0,0,0,0,0
"P_01392",1,0,0,0,0,0,0,0,0
"P_01397",1,0,0,0,0,0,0,0,0
"P_01405",1,0,0,0,0,0,0,0,0
"P_01406",1,0,0,0,0,0,0,0,0
"P_01407",1,0,0,0,0,0,0,0,0
"P_01410",1,0,0,0,0,0,0,0,0
"P_01411",1,0,0,0,0,0,0,0,0
"P_01419",1,0,0,0,0,0,0,0,0
"P_01424",1,0,0,0,0,0,0,0,0
"P_01427",1,0,0,0,0,0,0,0,0
"P_01428",1,0,0,0,0,0,0,0,0
"P_01430",1,0,0,0,0,0,0,0,0
"P_01435",0,1,0,0,0,0,0,0,0
"P_01440",1,0,0,0,0,0,0,0,0
"P_01444",1,0,0,0,0,0,0,0,0
"P_01445",1,0,0,0,0,0,0,0,0
"P_01447",1,0,0,0,0,0,0,0,0
"P_01448",1,0,0,0,0,0,0,0,0
"P_01450",1,0,0,0,0,0,0,0,0
"P_01451",1,0,0,0,0,0,0,0,0
"P_01452",1,0,0,0,0,0,0,0,0
"P_01453",1,0,0,0,0,0,0,0,0
"P_01455",1,0,0,0,0,0,0,0,0
"P_01457",1,0,0,0,0,0,0,0,0
"P_01461",1,0,0,0,0,0,0,0,0
"P_01467",0,0,0,0,0,1,0,0,0
"P_01468",1,0,0,0,0,0,0,0,0
"P_01470",1,0,0,0,0,0,0,0,0
"P_01472",1,0,0,0,0,0,0,0,0
"P_01474",1,0,0,0,0,0,0,0,0
"P_01475",1,0,0,0,0,0,0,0,0
"P_01476",1,0,0,0,0,0,0,0,0
"P_01484",1,0,0,0,0,0,0,0,0
"P_01486",0.865384615384615,0,0,0,0.134615384615385,0,0,0,0
"P_01487",1,0,0,0,0,0,0,0,0
"P_01494",1,0,0,0,0,0,0,0,0
"P_01503",1,0,0,0,0,0,0,0,0
"P_01506",1,0,0,0,0,0,0,0,0
"P_01507",1,0,0,0,0,0,0,0,0
"P_01508",1,0,0,0,0,0,0,0,0
"P_01512",1,0,0,0,0,0,0,0,0
"P_01513",1,0,0,0,0,0,0,0,0
"P_01519",1,0,0,0,0,0,0,0,0
"P_01522",1,0,0,0,0,0,0,0,0
"P_01524",1,0,0,0,0,0,0,0,0
"P_01528",1,0,0,0,0,0,0,0,0
"P_01531",1,0,0,0,0,0,0,0,0
"P_01532",1,0,0,0,0,0,0,0,0
"P_01533",1,0,0,0,0,0,0,0,0
"P_01535",1,0,0,0,0,0,0,0,0
"P_01538",1,0,0,0,0,0,0,0,0
"P_01543",1,0,0,0,0,0,0,0,0
"P_01546",1,0,0,0,0,0,0,0,0
"P_01548",1,0,0,0,0,0,0,0,0
"P_01549",1,0,0,0,0,0,0,0,0
"P_01556",1,0,0,0,0,0,0,0,0
"P_01557",0,1,0,0,0,0,0,0,0
"P_01560",1,0,0,0,0,0,0,0,0
"P_01562",1,0,0,0,0,0,0,0,0
"P_01565",1,0,0,0,0,0,0,0,0
"P_01569",1,0,0,0,0,0,0,0,0
"P_01576",1,0,0,0,0,0,0,0,0
"P_01577",1,0,0,0,0,0,0,0,0
"P_01579",1,0,0,0,0,0,0,0,0
"P_01582",1,0,0,0,0,0,0,0,0
"P_01583",1,0,0,0,0,0,0,0,0
"P_01584",1,0,0,0,0,0,0,0,0
"P_01585",1,0,0,0,0,0,0,0,0
"P_01587",1,0,0,0,0,0,0,0,0
"P_01589",1,0,0,0,0,0,0,0,0
"P_01593",1,0,0,0,0,0,0,0,0
"P_01596",1,0,0,0,0,0,0,0,0
"P_01598",1,0,0,0,0,0,0,0,0
"P_01600",1,0,0,0,0,0,0,0,0
"P_01605",1,0,0,0,0,0,0,0,0
"P_01607",1,0,0,0,0,0,0,0,0
"P_01611",1,0,0,0,0,0,0,0,0
"P_01612",1,0,0,0,0,0,0,0,0
"P_01614",1,0,0,0,0,0,0,0,0
"P_01615",1,0,0,0,0,0,0,0,0
"P_01616",1,0,0,0,0,0,0,0,0
"P_01617",1,0,0,0,0,0,0,0,0
"P_01619",1,0,0,0,0,0,0,0,0
"P_01620",0,0,0,0,0,1,0,0,0
"P_01624",1,0,0,0,0,0,0,0,0
"P_01627",1,0,0,0,0,0,0,0,0
"P_01629",1,0,0,0,0,0,0,0,0
"P_01632",1,0,0,0,0,0,0,0,0
"P_01634",1,0,0,0,0,0,0,0,0
